date,open,high,low,close,volume,average,barCount
2025-05-16 13:28:00-04:00,520.36,520.43,520.33,520.35,30805.0,520.37,219
2025-05-16 13:29:00-04:00,520.36,520.44,520.35,520.41,53967.0,520.413,239
2025-05-16 13:30:00-04:00,520.41,520.65,520.41,520.57,94215.0,520.531,534
2025-05-16 13:31:00-04:00,520.57,520.62,520.52,520.54,26507.0,520.552,180
2025-05-16 13:32:00-04:00,520.54,520.7,520.53,520.58,40549.0,520.631,268
2025-05-16 13:33:00-04:00,520.59,520.75,520.57,520.71,35568.0,520.681,228
2025-05-16 13:34:00-04:00,520.71,520.83,520.67,520.74,46520.0,520.745,307
2025-05-16 13:35:00-04:00,520.74,520.88,520.72,520.79,126012.0,520.815,579
2025-05-16 13:36:00-04:00,520.79,520.82,520.63,520.65,49641.0,520.725,284
2025-05-16 13:37:00-04:00,520.65,520.71,520.63,520.63,51737.0,520.666,281
2025-05-16 13:38:00-04:00,520.64,520.68,520.57,520.63,35691.0,520.637,213
2025-05-16 13:39:00-04:00,520.63,520.67,520.52,520.52,34770.0,520.589,263
2025-05-16 13:40:00-04:00,520.52,520.56,520.33,520.47,81979.0,520.452,496
2025-05-16 13:41:00-04:00,520.48,520.48,520.34,520.34,40927.0,520.406,296
2025-05-16 13:42:00-04:00,520.36,520.47,520.25,520.47,49851.0,520.343,350
2025-05-16 13:43:00-04:00,520.48,520.55,520.32,520.33,35136.0,520.438,228
2025-05-16 13:44:00-04:00,520.34,520.43,520.2,520.38,55824.0,520.3,281
2025-05-16 13:45:00-04:00,520.36,520.46,520.31,520.39,42590.0,520.377,257
2025-05-16 13:46:00-04:00,520.39,520.4,520.25,520.33,61575.0,520.333,310
2025-05-16 13:47:00-04:00,520.32,520.42,520.26,520.37,58814.0,520.361,341
2025-05-16 13:48:00-04:00,520.38,520.4,520.26,520.33,33779.0,520.329,235
2025-05-16 13:49:00-04:00,520.33,520.37,520.22,520.25,62522.0,520.296,430
2025-05-16 13:50:00-04:00,520.25,520.33,520.01,520.05,49877.0,520.155,373
2025-05-16 13:51:00-04:00,520.06,520.24,519.96,520.17,75137.0,520.059,413
2025-05-16 13:52:00-04:00,520.16,520.2,520.02,520.18,40710.0,520.082,259
2025-05-16 13:53:00-04:00,520.18,520.18,520.04,520.1,20185.0,520.098,143
2025-05-16 13:54:00-04:00,520.09,520.12,519.92,520.01,52292.0,520.01,337
2025-05-16 13:55:00-04:00,520.01,520.02,519.84,519.96,55419.0,519.913,316
2025-05-16 13:56:00-04:00,519.98,520.02,519.87,519.93,34737.0,519.936,227
2025-05-16 13:57:00-04:00,519.91,520.14,519.9,520.14,42670.0,520.06,238
2025-05-16 13:58:00-04:00,520.13,520.2,520.02,520.09,39233.0,520.101,284
2025-05-16 13:59:00-04:00,520.09,520.11,520.0,520.09,20007.0,520.052,144
2025-05-16 14:00:00-04:00,520.1,520.11,519.91,520.07,72098.0,520.018,371
2025-05-16 14:01:00-04:00,520.07,520.23,520.07,520.18,73852.0,520.187,407
2025-05-16 14:02:00-04:00,520.18,520.34,520.16,520.23,57248.0,520.256,313
2025-05-16 14:03:00-04:00,520.22,520.23,520.03,520.05,71540.0,520.126,336
2025-05-16 14:04:00-04:00,520.08,520.24,520.05,520.18,33942.0,520.134,179
2025-05-16 14:05:00-04:00,520.18,520.21,520.06,520.09,28870.0,520.125,185
2025-05-16 14:06:00-04:00,520.1,520.14,519.95,520.09,42492.0,520.049,273
2025-05-16 14:07:00-04:00,520.1,520.15,520.0,520.02,50369.0,520.083,263
2025-05-16 14:08:00-04:00,520.03,520.05,519.92,519.92,57035.0,519.967,375
2025-05-16 14:09:00-04:00,519.93,520.03,519.88,520.0,41601.0,519.966,276
2025-05-16 14:10:00-04:00,519.99,520.05,519.91,520.01,30258.0,519.982,242
2025-05-16 14:11:00-04:00,520.03,520.11,520.03,520.09,21348.0,520.076,120
